Best Books of 2008,https://goodreads.com/list/show/4.Best_Books_of_2008,"1,714 books
    
    6,930 voters"
Best Book Cover Art,https://goodreads.com/list/show/101.Best_Book_Cover_Art,"9,675 books
    
    6,868 voters"
Can't Wait Books of 2016,https://goodreads.com/list/show/75309.Can_t_Wait_Books_of_2016,"1,353 books
    
    6,806 voters"
Humorous Romance Books,https://goodreads.com/list/show/1228.Humorous_Romance_Books,"3,108 books
    
    6,772 voters"
Can't Wait Books For 2011,https://goodreads.com/list/show/5513.Can_t_Wait_Books_For_2011,"1,214 books
    
    6,761 voters"
Best Graphic Novels,https://goodreads.com/list/show/210.Best_Graphic_Novels,"3,234 books
    
    6,752 voters"
Highly Anticipated Indie Books of 2013,https://goodreads.com/list/show/29278.Highly_Anticipated_Indie_Books_of_2013,"1,444 books
    
    6,723 voters"
Best Books of the 19th Century,https://goodreads.com/list/show/16.Best_Books_of_the_19th_Century,"1,743 books
    
    6,620 voters"
Title,List,Listfulldetails
2012 Debut Authors (Young Adult & Middle Grade),https://goodreads.com/list/show/11525.2012_Debut_Authors_Young_Adult_Middle_Grade_,"1,046 books
    
    6,555 voters"
TO DIE FOR 2000 - 2015 STAND-ALONES,https://goodreads.com/list/show/18006.TO_DIE_FOR_2000_2015_STAND_ALONES,"1,886 books
    
    6,468 voters"
Controlling/Sexy/Possessive Men,https://goodreads.com/list/show/17468.Controlling_Sexy_Possessive_Men,"2,971 books
    
    6,464 voters"
Hottest Adult & Young Adult Romance Books,https://goodreads.com/list/show/18225.Hottest_Adult_Young_Adult_Romance_Books_,"2,793 books
    
    6,446 voters"
Favorite Historical Romance Novels,https://goodreads.com/list/show/224.Favorite_Historical_Romance_Novels,"3,287 books
    
    6,445 voters"
Best Children's Books,https://goodreads.com/list/show/86.Best_Children_s_Books,"4,988 books
    
    6,307 voters"
Funny as Hell!,https://goodreads.com/list/show/19534.Funny_as_Hell_,"2,363 books
    
    6,297 voters"
What To Read After Harry Potter,https://goodreads.com/list/show/559.What_To_Read_After_Harry_Potter,"1,861 books
    
    6,278 voters"
YA Books of 2010 & 2011 I'm LIVING to read!!,https://goodreads.com/list/show/3615.YA_Books_of_2010_2011_I_m_LIVING_to_read_,"1,209 books
    
    6,220 voters"
Most Anticipated Romances of 2015,https://goodreads.com/list/show/80005.Most_Anticipated_Romances_of_2015,"1,410 books
    
    6,207 voters"
Title,List,Listfulldetails
I AM IN LOVE !!!,https://goodreads.com/list/show/19109.I_AM_IN_LOVE_,"4,069 books
    
    6,187 voters"
I Only Watched the Movie!,https://goodreads.com/list/show/4271.I_Only_Watched_the_Movie_,"1,137 books
    
    6,153 voters"
ONE DAY Best Summer Reads,https://goodreads.com/list/show/11323.ONE_DAY_Best_Summer_Reads,"1,777 books
    
    6,090 voters"
Read Them Twice...At Least,https://goodreads.com/list/show/474.Read_Them_Twice_At_Least,"8,403 books
    
    6,049 voters"
Best Science Fiction,https://goodreads.com/list/show/19341.Best_Science_Fiction,"3,353 books
    
    6,028 voters"
Books I Have No Intention of Reading,https://goodreads.com/list/show/1519.Books_I_Have_No_Intention_of_Reading,"1,372 books
    
    6,022 voters"
Best Books of 2014,https://goodreads.com/list/show/47649.Best_Books_of_2014,"3,536 books
    
    5,966 voters"
Best YA Fiction with GLBTQQI themes / characters,https://goodreads.com/list/show/653.Best_YA_Fiction_with_GLBTQQI_themes_characters,"1,801 books
    
    5,890 voters"
Best Memoir / Biography / Autobiography,https://goodreads.com/list/show/281.Best_Memoir_Biography_Autobiography,"5,401 books
    
    5,827 voters"
1001 Books You Must Read Before You Die,https://goodreads.com/list/show/952.1001_Books_You_Must_Read_Before_You_Die,"1,328 books
    
    5,803 voters"
Title,List,Listfulldetails
Best Female Lead Characters,https://goodreads.com/list/show/2602.Best_Female_Lead_Characters,"4,746 books
    
    5,779 voters"
Recommended Arabic Books,https://goodreads.com/list/show/3865.Recommended_Arabic_Books,"1,845 books
    
    5,776 voters"
So you love a Bad Boy or Tortured Hero,https://goodreads.com/list/show/4243.So_you_love_a_Bad_Boy_or_Tortured_Hero,"3,431 books
    
    5,673 voters"
New Authors to Read,https://goodreads.com/list/show/7663.New_Authors_to_Read,"4,326 books
    
    5,653 voters"
YA Novels of 2018,https://goodreads.com/list/show/74439.YA_Novels_of_2018,"1,020 books
    
    5,588 voters"
Best of Little-Known Authors,https://goodreads.com/list/show/7205.Best_of_Little_Known_Authors,"6,359 books
    
    5,549 voters"
Best Horror Novels,https://goodreads.com/list/show/135.Best_Horror_Novels,"1,885 books
    
    5,545 voters"
Thrillers You Must Read!,https://goodreads.com/list/show/8306.Thrillers_You_Must_Read_,"4,123 books
    
    5,453 voters"
"Magic, Adventure, Romance",https://goodreads.com/list/show/870.Magic_Adventure_Romance,"2,031 books
    
    5,421 voters"
"Dealbreakers: If You Like This Book, We Won't Get Along",https://goodreads.com/list/show/15841.Dealbreakers_If_You_Like_This_Book_We_Won_t_Get_Along,"1,848 books
    
    5,379 voters"
Title,List,Listfulldetails
Character You Most Want to Sleep With,https://goodreads.com/list/show/1104.Character_You_Most_Want_to_Sleep_With,"3,933 books
    
    5,327 voters"
